iteration,total_loss,pde_loss,bc_loss,ic_loss,lr,time_elapsed_s
1,0.7204922437667847,0.005384854506701231,0.7151073813438416,0.0,0.001,0.50
100,0.5220708250999451,0.014249598607420921,0.5078212022781372,0.0,0.001,51.28
200,0.3420239984989166,0.05202985554933548,0.28999415040016174,0.0,0.001,102.63
300,0.2919183373451233,0.04486191272735596,0.24705642461776733,0.0,0.001,152.53
400,0.261198490858078,0.038642995059490204,0.2225554883480072,0.0,0.001,202.43
500,0.24376268684864044,0.038865577429533005,0.20489710569381714,0.0,0.001,252.97
600,0.24789614975452423,0.023063618689775467,0.22483253479003906,0.0,0.001,303.34
700,0.18386328220367432,0.021561048924922943,0.16230224072933197,0.0,0.001,353.17
800,0.16812941431999207,0.02881566248834133,0.13931375741958618,0.0,0.001,402.85
900,0.14307308197021484,0.02984975092113018,0.11322333663702011,0.0,0.001,452.74
1000,0.13849903643131256,0.030052276328206062,0.10844676196575165,0.0,0.001,503.85
1100,0.1175750195980072,0.027696315199136734,0.08987870067358017,0.0,0.001,554.93
1200,0.09390271455049515,0.022565066814422607,0.07133764773607254,0.0,0.001,605.65
1300,0.06728474050760269,0.012940782122313976,0.05434396117925644,0.0,0.001,657.05
1400,0.04226302355527878,0.008151624351739883,0.034111399203538895,0.0,0.001,708.38
1500,0.029136236757040024,0.0059387823566794395,0.02319745346903801,0.0,0.001,759.12
1600,0.020391568541526794,0.0043609170243144035,0.016030650585889816,0.0,0.001,810.01
1700,0.017107311636209488,0.003444606438279152,0.013662705197930336,0.0,0.001,860.83
1800,0.042830660939216614,0.006883321329951286,0.03594734147191048,0.0,0.001,912.09
1900,0.010347969830036163,0.002245732583105564,0.0081022372469306,0.0,0.001,963.19
2000,0.009005066007375717,0.0019615264609456062,0.007043539546430111,0.0,0.001,1014.14
2100,0.00911869015544653,0.0025314590893685818,0.006587231066077948,0.0,0.001,1064.85
2200,0.005846930667757988,0.0016518617048859596,0.004195068962872028,0.0,0.001,1115.65
2300,0.004985016770660877,0.0013929354026913643,0.0035920811351388693,0.0,0.001,1166.85
2400,0.0048459297977387905,0.0015529063530266285,0.003293023444712162,0.0,0.001,1217.26
2500,0.005968502257019281,0.0014365240931510925,0.004531978163868189,0.0,0.001,1268.11
2600,0.004066411405801773,0.0016319227870553732,0.0024344883859157562,0.0,0.001,1319.18
2700,0.00262069096788764,0.00075863441452384,0.0018620565533638,0.0,0.001,1369.88
2800,0.002833412494510412,0.0012246498372405767,0.0016087625408545136,0.0,0.001,1420.59
2900,0.002373558934777975,0.0011227537179365754,0.0012508051004260778,0.0,0.001,1471.89
3000,0.01333322748541832,0.007821774110198021,0.005511453375220299,0.0,0.001,1523.27
3100,0.0056689223274588585,0.0034090708941221237,0.0022598516661673784,0.0,0.001,1574.26
3200,0.0024191979318857193,0.0005881577963009477,0.0018310400191694498,0.0,0.001,1625.36
3300,0.0023893085308372974,0.0014943941496312618,0.0008949143229983747,0.0,0.001,1676.69
3400,0.00483651552349329,0.0033013306092470884,0.0015351849142462015,0.0,0.001,1727.70
3500,0.006848848424851894,0.003495733253657818,0.00335311540402472,0.0,0.001,1778.93
3600,0.005432649981230497,0.003980681765824556,0.0014519680989906192,0.0,0.001,1829.98
3700,0.0010869469260796905,0.0006333820638246834,0.0004535648913588375,0.0,0.001,1881.00
3800,0.012542943470180035,0.009421352297067642,0.0031215909402817488,0.0,0.001,1932.19
3900,0.0007842494524084032,0.0004376775468699634,0.00034657190553843975,0.0,0.001,1983.23
4000,0.021797051653265953,0.0012819267576560378,0.02051512524485588,0.0,0.001,2034.03
4100,0.0012428530026227236,0.0007557776989415288,0.0004870753618888557,0.0,0.001,2084.95
4200,0.00766328489407897,0.0012408398324623704,0.006422445178031921,0.0,0.001,2135.98
4300,0.0008263168856501579,0.00044384683133102953,0.00038247008342295885,0.0,0.001,2186.93
4400,0.005088329315185547,0.0038465687539428473,0.0012417605612426996,0.0,0.001,2237.85
4500,0.005958470515906811,0.004618726670742035,0.0013397436123341322,0.0,0.001,2288.49
4600,0.0020979198161512613,0.00083722616545856,0.0012606936506927013,0.0,0.001,2339.46
4700,0.0009500623564235866,0.0005565978353843093,0.0003934645210392773,0.0,0.001,2390.44
4800,0.0036950919311493635,0.0025910213589668274,0.0011040705721825361,0.0,0.001,2441.27
4900,0.006113623734563589,0.004133228212594986,0.001980395521968603,0.0,0.001,2492.18
5000,0.00034997606417164207,0.00015213506412692368,0.00019784098549280316,0.0,0.001,2543.13
5100,0.002215912099927664,0.0013308500638231635,0.0008850620943121612,0.0,0.001,2594.03
5200,0.0017155532259494066,0.0007729011704213917,0.0009426521137356758,0.0,0.001,2645.14
5300,0.003534761955961585,0.0023024624679237604,0.0012322994880378246,0.0,0.001,2696.13
5400,0.0005910111358389258,0.000215625244891271,0.0003753859200514853,0.0,0.001,2746.96
5500,0.0024803318083286285,0.0010424735955893993,0.0014378582127392292,0.0,0.001,2797.93
5600,0.0005940892151556909,0.00032841056236065924,0.00026567865279503167,0.0,0.001,2848.90
5700,0.0007971293525770307,0.000264352944213897,0.0005327764083631337,0.0,0.001,2899.69
5800,0.00398346409201622,0.0026939301751554012,0.001289533800445497,0.0,0.001,2950.66
5900,0.003010413609445095,0.002209015190601349,0.0008013984188437462,0.0,0.001,3001.54
6000,0.008150854147970676,0.00045509287156164646,0.007695761043578386,0.0,0.001,3052.50
6100,0.0012408082839101553,0.0008515429217368364,0.00038926530396565795,0.0,0.001,3103.51
6200,0.0016636941581964493,0.00036396185168996453,0.0012997322482988238,0.0,0.001,3154.86
6300,0.0010905920062214136,0.0006422803271561861,0.00044831164996139705,0.0,0.001,3206.11
6400,0.001005882048048079,0.0006441898294724524,0.00036169218947179615,0.0,0.001,3257.18
6500,0.0005299366312101483,0.00019961732323281467,0.0003303193370811641,0.0,0.001,3308.15
6600,0.0002597003476694226,0.00010774422844406217,0.00015195610467344522,0.0,0.001,3358.91
6700,0.002847820520401001,0.0018521184101700783,0.0009957022266462445,0.0,0.001,3409.16
6800,0.010449104011058807,0.00693519739434123,0.0035139068495482206,0.0,0.001,3460.06
6900,0.0012243941891938448,0.0007482293294742703,0.00047616491792723536,0.0,0.001,3511.10
7000,0.0007996591739356518,0.0005486647132784128,0.00025099446065723896,0.0,0.001,3561.52
7100,0.0002694753638934344,6.511749234050512e-05,0.00020435787155292928,0.0,0.001,3612.48
7200,0.00875066313892603,0.007231959141790867,0.0015187036478891969,0.0,0.001,3663.18
7300,0.0002563577436376363,0.00013323038001544774,0.00012312736362218857,0.0,0.001,3714.14
7400,0.00019257780513726175,7.546173583250493e-05,0.00011711606930475682,0.0,0.001,3764.18
7500,0.0012579007307067513,0.0009446582989767194,0.0003132424608338624,0.0,0.001,3814.22
7600,0.0017010315787047148,0.0013398583978414536,0.0003611731226556003,0.0,0.001,3864.62
7700,0.0024393380153924227,0.0019027679227292538,0.000536570034455508,0.0,0.001,3915.26
7800,0.010470129549503326,0.007963772863149643,0.0025063571520149708,0.0,0.001,3965.39
7900,0.0001903939846670255,6.930177914910018e-05,0.00012109220551792532,0.0,0.001,4015.98
8000,0.006337215192615986,0.0031779888086020947,0.0031592263840138912,0.0,0.001,4066.76
8100,0.0002953871735371649,0.00017834315076470375,0.00011704400822054595,0.0,0.001,4117.96
8200,0.00038398729520849884,0.0002490526530891657,0.00013493464211933315,0.0,0.001,4168.97
8300,0.0006156120216473937,0.0004550540470518172,0.00016055797459557652,0.0,0.001,4219.61
8400,0.00037473312113434076,0.00024879624834284186,0.0001259368727914989,0.0,0.001,4270.07
8500,0.00015382497804239392,6.731575558660552e-05,8.650922973174602e-05,0.0,0.001,4320.35
8600,0.00016542017692700028,7.162434485508129e-05,9.3795832071919e-05,0.0,0.001,4371.59
8700,0.002396083204075694,0.0014862092211842537,0.0009098739828914404,0.0,0.001,4422.69
8800,0.0009643884259276092,0.0007778664585202932,0.00018652196740731597,0.0,0.001,4473.78
8900,0.00017448788275942206,8.643971523270011e-05,8.804817480267957e-05,0.0,0.001,4525.12
9000,0.004700516816228628,0.0031256501097232103,0.0015748667065054178,0.0,0.001,4576.21
9100,0.0007932574371807277,0.0006156236631795764,0.00017763378855306655,0.0,0.001,4626.90
9200,0.000795199885033071,0.0002973678638227284,0.0004978320212103426,0.0,0.001,4677.97
9300,0.00507630268111825,0.0009491711971350014,0.004127131309360266,0.0,0.001,4728.98
9400,0.007667801808565855,0.0045218924060463905,0.0031459094025194645,0.0,0.001,4780.39
9500,0.0004956622142344713,0.0002743525546975434,0.0002213096886407584,0.0,0.001,4831.25
9600,0.0027872181963175535,0.0016899972688406706,0.001097220927476883,0.0,0.001,4881.83
9700,0.0013537007616832852,0.0007907416438683867,0.0005629591178148985,0.0,0.001,4932.59
9800,0.0031951034907251596,0.002782336436212063,0.00041276708361692727,0.0,0.001,4983.78
9900,0.0004603443667292595,0.00027146044885739684,0.00018888393242377788,0.0,0.001,5034.50
10000,0.00018414254009258002,0.00011942270793952048,6.471983215305954e-05,0.0,0.001,5085.23
10001,0.0001707410265225917,0.00010904484952334315,6.169616972329095e-05,0.0,0.0,5085.75
10050,9.860748104983941e-05,5.0257076509296894e-05,4.835040454054251e-05,0.0,0.0,5111.45
10100,6.996889715082943e-05,3.159592597512528e-05,3.837297117570415e-05,0.0,0.0,5138.92
10150,5.9967733250232413e-05,2.71987883024849e-05,3.2768944947747514e-05,0.0,0.0,5166.75
10200,4.68482612632215e-05,2.040539402514696e-05,2.644286723807454e-05,0.0,0.0,5194.73
10250,3.500721140881069e-05,1.804917337722145e-05,1.695803803158924e-05,0.0,0.0,5222.62
10300,3.2214833481702954e-05,1.4711162293679081e-05,1.7503673007013276e-05,0.0,0.0,5250.91
10350,2.6612149667926133e-05,1.303252429352142e-05,1.3579625374404714e-05,0.0,0.0,5278.85
10400,2.5070081392186694e-05,1.3325412510312162e-05,1.1744668881874532e-05,0.0,0.0,5306.54
10450,2.248710188723635e-05,1.0429268513689749e-05,1.20578333735466e-05,0.0,0.0,5334.04
10500,2.142763878509868e-05,1.0807802027557045e-05,1.0619836757541634e-05,0.0,0.0,5361.41
10550,1.8987568182637915e-05,9.545230568619445e-06,9.442338523513172e-06,0.0,0.0,5389.12
10600,1.7308617316302843e-05,7.837585144443437e-06,9.471032171859406e-06,0.0,0.0,5416.97
10650,1.5342589904321358e-05,7.511906915169675e-06,7.830682989151683e-06,0.0,0.0,5444.98
10700,1.3679944458999671e-05,7.213870958366897e-06,6.466073500632774e-06,0.0,0.0,5473.14
10750,1.2812906788894907e-05,7.166911927924957e-06,5.6459948609699495e-06,0.0,0.0,5501.33
10800,9.394023436470889e-06,4.294072368793422e-06,5.099951067677466e-06,0.0,0.0,5529.39
10850,8.798505405138712e-06,3.8162934288266115e-06,4.982211976312101e-06,0.0,0.0,5557.48
10900,7.731170626357198e-06,2.994648639287334e-06,4.736522441817215e-06,0.0,0.0,5585.55
10950,7.477166036551353e-06,3.1377157938550226e-06,4.33945024269633e-06,0.0,0.0,5613.67
11000,6.923860382812563e-06,2.6411967155581806e-06,4.282663667254383e-06,0.0,0.0,5641.75
